Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
Radio host and salesperson,የሬድዮ ሆስት እና ሽያጭ ሰራተኛ,,SERVICE,
Reader for YouTube channel analysis,ለዩትዩብ ቻነል ትንታኔ አንባቢ,U,,
Real estate sales consultant,ሪል ስቴት ሽያጭ አማካሪ,P,,
Real estate telemarketer,ሪል እስቴት ቴሌ ማርኬተር,P,Trade,
Receipt print/delete section,የደረሰኝ ህትመት/ጥረዛ ክፍል,P,Trade,
Receiving orders by phone and telegram,በስልክና ቴሌግራም ትዛዝ መቀበል,U,,
Reception and hospitality,ሪሰፕሽን እና መስተንግዶ,I,,
Receptionist for dental clinic,ለጥርስ ክሊኒክ እንግዳ ተቀባይ,P,,
Regional Marketing Supervisor,ሪጅናል ማርኬቲንግ ሱፐርቫይዘር,P,,
Reinforcement sales employee,የአርማታ ብረታ ሽያጭ ሰራተኛ,I,,
Restaurant and bar manager,የሪስቶራንትና ባር ማናጀር,P,,
Ride driver,የራይድ ሹፌር,I,,
Road safety expert,የመንገድ ደህንነት ባለሙያ,P,,
Skilled at coffee machine,የካፌ ማሽን ላይ ሙያ ያለው,I,,
Safaricom Sales Officer,የሳፋሪኮም ሽያጭ ሰራተኛ,P,SERVICE,
Salary Scale Surveyor,የደመወዝ እስኬል ጥናት ባለሙያ,P,,
Sale of construction equipment,የህንፃ መሳሪያ ሽያጭ,I,,
Sales,ሽያጭ ሰራተኛ,P,,
Sales accountant,የሽያጭ አካውንታንት,P,SERVICE,
Scallop micropigmentation specialist,ስከልፕ ማይክሮ ፒግመንቴሽን ባለሙያ,P,,
Scooter riders with their own scooters,የራሳቸው ስኩተር ያላቸው የስኩተር አሽከርካሪዎች,U,,
Script writer and narrator,ስክሪፕት ጸሃፊ እና ተራኪ,P,,
Secretary,ፀሀፊ,P,,
Assistant Office Manager,ረዳት የቢሮ ማኔጀር,P,SERVICE,
office management assistant,ሴክሬታሪ እና የቢሮ ማኔጅመንት ረዳት ሰራተኛ,P,SERVICE,
Secretary of entertainment and social affairs,የመዝናኛ እና ማህበራዊ ጉዳዮች ላይ ፀሃፊ,P,,
Secretary of Legal Affairs,የህግ ጉዳዮች ፀሐፊ,P,,
"Secretary, Marketing and Sales Assistant",ፀሀፊ፣ የማርኬቲንግ እና ሽያጭ ረዳት ባለሞያ,P,SERVICE,
Security department supervisor,የጥበቃ ክፍል ሱፐርቫይዘር,P,,
"Send and control movies, music and games in the cinema","ፊልም ቤት ውስጥ ፊልም, ሙዚቃ እና ጌሞችን መላክና መቆጣጠር",I,,
Senior Mechanic,ሲኒየር መካኒክ,P,SERVICE,
Senior Purchase Officer,ሲኒየር የግዢ ኦፊሰር,P,,
Senior reporter,ከፍተኛ ሪፖርተር,P,,
Sewing and overlock worker,ስፌት እና ኦቨርሎክ ሰራተኛ,P,,
Shawarma worker,ሸዋርማ ሰራተኛ,I,Manufcturing,
fashion designer's assistant,የፋሽን ዲዛይነር ረዳት,P,,
"Short Film Writing for YouTube, YouTube Show Ideas, Sitcom Drama Writing and Acting",ለዩቲዩብ የሚሆን በአጭር ፊልም ድርሰት፣በዩቲዩብ ሾው ሀሳብ፣በሲትኮም ድ ራማ ፀሀፊነት እና በትወና,P,SERVICE,
Singer,ዘፋኝ,I,,
Singer,ዘማሪ /ዘማሪት,I,SERVICE,
Site manager,ሳይት ስራ አስኪያጅ,P,SERVICE,
Skin wide,ቆዳ ሰፊ,I,SERVICE,
Social Media and Marketing Officer,የሶሻል ሚዲያና ማርኬቲንግ ኦፊሰር,P,Trade,
Social media manager,የሶሻል ሚዲያ ማናጀር,P,,
Social media promoter,ሶሻል ሚዲያ ፕሮሞተር,P,,
Sofa fabric wide\finishing worker,የሶፋ ጨርቅ ሰፊ\ፊኒሽንግ ሰራተኛ,P,SERVICE,
sofa worker,ሶፋ ሰራተኛ ,P,SERVICE,-
Software mobile technician,ሶፍትዌር ሞባይል ቴክኒሺያን,P,Manufcturing,
Somali language translator,የሱማልኛ ቋንቋ አስተርጓሚ,P,,
Sound Man Assistant (Carrier),የሳውንድ ማን ረዳት ( ተሸካሚ),P,,
Sound technician,የድምፅ ቴክኒሻን,P,,
Spa reception and spa attendant,የስፓ መቀበያ እና ስፓ አስተናጋጅ,I,,
Sports journalist,የስፖርት ጋዜጠኛ,P,SERVICE,
Stand Up Comedian (Comedy Teacher and Presenter),ስትንድአፕ ኮሜዲያን (ኮሜዲ ድራሲና አቅራቢ),P,,
Stationery,የጽህፈት እቃዎች,P,,
Store Keeper,ስቶር ኪፐር,I,,
Store Manager (for Adama City),የስቶር አስተዳዳሪ (ለአዳማ ከተማ),P,SERVICE,
Supermarket Manager and Supervisor,ሱፐር ማርኬት ማናጀር እና ሱፐርቫይዘር,P,,
Supervising the safety of students,የተማሪዎች ደህንነትን የምትቆጣጠር,U,SERVICE,
Supervisor in the elevator,የሊፍት ውስጥ ተቆጣጣሪ,I,,
Supervisor of field sales staff,የመስክ ሽያጭ ስራተኞች ተቆጣጣሪ,U,,
actor,ተዋናይ,I,,
Survey,ዳሰሳ/ሰርቬይ,P,SERVICE,
Swimming area lifeguard,የመዋኛ አካባቢ ነፍስ አድን,U,SERVICE,
Tailor,የሰፌት ባለሙያ,P,,
Taking care of children,ህፃናትን መንከባከብ,P,,
Tapestry expert,ቴፕስተሪ ባለሞያ,P,,
Teacher,መምህር,P,,
Teacher for film acting,አስተማሪ ለፊልም ትወና,P,SERVICE,
Technical director,ቴክኒካል ዳይሬክተር,P,,
Tele silver agent,የቴሌ ብር ኤጀንት,U,,
Telebur agent registrar,የቴሌብር ወኪል መዝጋቢ,U,SERVICE,
Telemarketer,ቴሌ ማርኬተር,P,,
Telephone call receiver,የስልክ ጥሪ ተቀባይ,I,SERVICE,
Text for customers entering contract and evidence,ውልና ማስረጃ ለሚገቡ ደንበኞች ፅሁፍ,P,SERVICE,
"The main dessert maker is Bakla, Halau, Mushebek and Fatira maker","የጣፋጭ ምግብ ሰሪበ ዋናነት ባቅላ,ሃላዉ, ሙሸበክ እንዲሁም ፈጢራ ሰሪ",I,SERVICE,
The sales staff of the local market,የሽያጭ ሰራተኛ,I,,
Ticket clerk,ትኬት ሰራተኛ,I,Trade,
translator,አስተርጓሚ,P,SERVICE,
Top video editor,ከፍተኛ ቪዲዮ ኤዲተር,P,,
Total woodworking specialist,ጠቅላላ የእንጨት ስራ ባለሙያ,P,,
tour guide,አስጎብኚ,P,,
Traditional dance expert,ባህላዊ ውዝዋዜ ባለሞያ,P,,
Traditional dancers,ተወዛዋዦች,I,,
Traditional music instrument player,የባህል ሙዚቃ መሳሪያ ተጫዋች,I,,
travel agency,የጉዞ ወኪል,P,,
Treasurer,ገንዘብ ያዥ,u,SERVICE,
Vehicle management specialist,ተሸከርካሪዎች አሰተዳደር ባለሙያ,P,SERVICE,
furniture worker,የፈርኒቸር ሰራተኛ,P,,
Veterinarian,የእንስሳት ሐኪም,P,,
Video camera specialist,የቪዲዮ ካሜራ ባለሙያ,P,,
Video editor and graphic designer,ግራፊክስ ዲዛይነር,P,,
Vocal / for both genders /,ድምፃዊ,I,SERVICE,
keyboardist,ኪቦርዲስት,P,SERVICE,
Volunteer,በጎ ፈቃደኛ,I,SERVICE,
Volunteer Counselor (Free),የስነልቦና አማካሪ,P,SERVICE,
Volunteer Production / Video Recording,ቩለንተር ፕሮዳክሽን / ቪድዮ ቀረፃ,P,SERVICE,
Volunteer teacher,በጎ ፈቃደኛ አስጠኚ,I,,
waiter,አስተናጋጅ,I,SERVICE,
Waitress,የጀበና ቡና ቤት ሰራተኛ,I,,
Wall painter,የግርግዳ ቀለም ቅብ ባለሙያ,U,SERVICE,
Warehouse supervisor,የመጋዘን ተቆጣጣሪ,I,,
Water line specialist,የውሀ መስመር ዝርጋታ ባለሙያ,P,,
"aerobics, dance and pregnancy trainers","የ ኤሮቢክስ, የ ዳንስ እና የ እርጉዝ እስፖርት አሰልጣኞች እንፈልጋለን",P,SERVICE,
We need a case manager.,ጉዳይ አስፈጻሚ,P,SERVICE,
Web site designer,ዌብ ሳይት ዲዛይነር,P,SERVICE,
Welding expert,የብየዳ ባለሞያ,P,SERVICE,
Wet maker,እርጥብ ሰሪ,I,,
Wife's results marketer,የባልትና ዉጤቶች የገበያ ባለሙያ,I,SERVICE,
Women's boutique sales staff,ሽያጭ ሰራተኛ,P,,
Wood machinist metal work painter,የእንጨት ማሽን ሠራተኛ,P,,
Wood products preparation specialist,የእንጨት ምርቶች የዝግጅት ባለሙያ,P,,
Wooden house finishing specialist,የእንጨት ቤት የፊኒሽንግ ባለሙያ,P,,
Works on printing,ህትመት ላይ የሚሰራ,P,,
Workshop Manager,ወርክሾፕ ማናጀር,P,SERVICE,
Writer and Internet user,ፀሀፊ እና ኢንተርኔት አስጠቃሚ,P,,
YouTube entertainment program producer,የዩቲዩብ መዝናኛ ፕሮግራም አዘጋጅ,P,SERVICE,
architect,.አርክቴክት,P,,
Almunium Worker,የአልሙኒየም ሰራተኛ 3.ፕራይም ኮቲንግ ቴክኒሽያን 4.ሰአሊ 5.ግላዘር,P,,
PAINTER,ሰአሊ,P,,
Gypsum worker,የጂፕሰም ሰራተኛ,P,,
Chemistry lab technician Education,የኬሚስትሪ ላብ ቴክኒሻን,P,,
Physics lab technician,የፊዚክስ ላብ ቴክኒሻን,P,,
Biology lab technician : First degree from recognized university in the mentioned areas of study. Experience: 2 years and above relevant experience,የባዮሎጂ ላብራቶሪ ቴክኒሻን,P,,
Biomedical Engineer,ባዮሜዲካል ኢንጂነር 2.የባዮሜዲካል እቃዎች ጥገና,P,,
Biomedical Equipment maintenance,የባዮሜዲካል እቃዎች ጥገና,P,,
Motorcycle rider,1. የጥሪ ማእከል ኦፕሬተር 2. የሞተር ሳይክል አሽከርካሪ,,,
1. Call operator 2. Delivery coordinator,1. ጥሪ ኦፕሬተር 2. የመላኪያ አስተባባሪ,,,
Cashier,ገንዘብ ተቀባይ,P,,
Water Proofing Workers,የውሃ መከላከያ ሰራተኞች,P,,
CNC Machinist/Design Engineer,የ CNC ማሽነሪ / ንድፍ መሐንዲስ,P,,
Communication Engineers,የመገናኛ መሐንዲሶች,P,,
Computer Maintenance Technician.,የኮምፒውተር ጥገና ቴክኒሻን.,P,,
content creator,የይዘት ፈጣሪ,U,,
Customer Service Support (CSS),የደንበኛ አገልግሎት ድጋፍ (CSS),P,,
business administration.,በንግድ አስተዳደር,P,,
Assistance Project Manager,የእርዳታ ፕሮጀክት ስራ አስኪያጅ,P,,
Digital Marketing Develper,ዲጂታል ማርኬቲንግ ገንቢ,P,,
Educational Programs Director,የትምህርት ፕሮግራሞች ዳይሬክተር,P,,
Electrical engineer or electrician,የኤሌክትሪክ መሐንዲስ ወይም ኤሌክትሪክ ባለሙያ,P,,
Energetic and Creative Marketing Professional,ጉልበት ያለው እና ፈጠራ ያለው የግብይት ፕሮፌሽናል,P,,
Environmental Engineer,የአካባቢ መሐንዲስ,P,,
Equipment Supervisor Assistant,Equipment ሱፐርቫይዘር ረዳት,P,,
Social worker,ማህበራዊ ሰራተኛ,P,,
Finance snd Administration officer/Accountant,የፋይናንስ እና አስተዳደር ኦፊሰር/አካውንታንት,P,,
Graphics Designer,ግራፊክስ ዲዛይነር,P,,
HR manager,የሰው ኃይል ሥራ አስኪያጅ,P,,
Installation technicians,የመ ጫ ኛ ቴክኒሻኖች,P,,
Legal Associate,ጁኒየር የህግ ተባባሪ,P,,
kg Main Teacher,ኪ.ግ ዋና መምህር,P,,
Lift technician,ሊፍት ቴክኒሻን,P,,
Machinist,ማሽነሪ,P,,
Civil Engineers,ሲቪል መሐንዲሶች,P,,
Secretary,ጸሃፊ,P,,
Marketing Officer,የግብይት ኦፊሰር,P,,
Mechanical Machine Design,የሜካኒካል ማሽን ዲዛይን,P,,
OFFICE MACHINE TECHNICIAN,የቢሮ ማሽን ቴክኒሻን,P,,
Photoshoper,ፎቶሾፕ,P,,
pharmacist,ፋርማሲስት,P,,
production manager,የምርት አስተዳዳሪ,P,,
Junior Chemist,ጁኒየር ኬሚስት,P,,
Senior Chemist,ከፍተኛ ኬሚስት,P,,
Psychologists,የሥነ ልቦና ባለሙያዎች,P,,
Bar Bender,ባር ቤንደር,I,,
Welding Technician,የዌልዲንግ ቴክኒሻን,P,,
 School Supervisor , የትምህርት ቤት ተቆጣጣሪ ,p,,
Senior IOS Developer,ከፍተኛ የአይኦኤስ ገንቢ,P,,
Senior Java Developer,ከፍተኛ የጃቫ ገንቢ,P,,
Senior Android Developer,ሲኒየር አንድሮይድ ገንቢ,P,,
1) Social media manager and content creator ,የማህበራዊ ሚዲያ ስራ አስኪያጅ እና የይዘት ፈጣሪ,P,,
Supervisor,ተቆጣጣሪ,P,,
Teachers for primary school,የመጀመሪያ ደረጃ ትምህርት ቤት አስተማሪዎች,P,,
Video Editor,የቪዲዮ አርታዒ,P,,
Software developer,የሶፍትዌር ገንቢ,P,,
Teachers for Secondary school,2ኛ ደረጃ ት/ቤት ርዕሰ መምህር,p,,
2D and 3D animators,2D እና 3D animators,p,,
2D animator After effects / vector designer (Illustrator),2D አኒሜሽን ከተፅእኖ በኋላ / የቬክተር ዲዛይነር (አሳላቂ),p,,
2D animator / visual artist,2D እነማ / ምስላዊ አርቲስት,p,,
2D Explainer & UX animator,2D ገላጭ እና UX አኒሜሽን,p,,
2D Motion Designer Artist,2D እንቅስቃሴ ዲዛይነር አርቲስት,p,,
2D motion graphic designer,2D እንቅስቃሴ ግራፊክ ዲዛይነር,p,,
2D promo video maker,2D ማስተዋወቂያ ቪዲዮ ሰሪ,p,,
Masters on business adminstration,በንግድ አስተዳደር ላይ በማስተርስ,p,,
3D/2D Character animator,3D/2D የቁምፊ አኒሜሽን,p,,
3D Animation and Video editor,3D አኒሜሽን እና ቪዲዮ አርታዒ,p,,
3D animator and 3D modeling,3D ሞዴሊንግ,p,,
3D Animator and graphics designer,3D Animator እና ግራፊክስ ዲዛይነር,p,,
3D animator/cartoonist,3D አኒሜሽን/ካርቱኒስት,p,,
3D animator & Texture artist,3D አኒሜሽን እና ሸካራነት አርቲስት,p,,
3D Architectural visualizer,3D አርክቴክቸር ምስላዊ,p,,
3D Artist and Blender for YouTube channel,3D አርቲስት እና Blender የሚመች ለ YouTube ቻናል,p,,
3D CGI Artist,3D CGI አርቲስት,p,,
3D Character Animator,3D ቁምፊ አኒሜተር,p,,
3D character Designer,3D ቁምፊ ዲዛይነር,p,,
3D Character Sculpting Artists,3D ገፀ-ባህሪያትን መቅረጽ አርቲስቶች,p,,
3D Content creator,3D ይዘት ፈጣሪ,p,,
3D courses,3D ኮርሶች,p,,
3D creature sculpting,3D ፍጥረት መቅረጽ,p,,
3D design instructor for kids,የ 3 ዲ ዲዛይን አስተማሪ ለልጆች,p,,
3D design printer on clothes,በልብስ ላይ 3 ዲ ዲዛይን አታሚ,p,,
3D Modeler (Woodworking Industry),3 ዲ አምሳያ (የእንጨት ሥራ ኢንዱስትሪ),p,,
3D modeling and PS work,3D ሞዴሊንግ እና PS ስራ,p,,
3D product visualizer /3D product designer/,3D ምርት ምስላዊ /3D ምርት ዲዛይነር/,p,,
3D Substance Painter,3D ንጥረ ነገር ሰዓሊ,p,,
3D Technical Artist/Director (Unity/Blender),3 ዲ ቴክኒካል አርቲስት/ዳይሬክተር (አንድነት/ብሌንደር),p,,
Computer Science or Software Engineering,የኮምፒውተር ሳይንስ ወይም የሶፍትዌር ምህንድስና,p,,
Electrical Engineers (preferably Electonics),የኤሌትሪክ መሐንዲሶች (በተለይ ኤሌክትሮኒክስ),p,,
Front End and Back End Developers,የፊት መጨረሻ እና የኋላ መጨረሻ ገንቢዎች,p,,
3rd Party Recovery Assistant,የሶስተኛ ወገን መልሶ ማግኛ ረዳት,p,,
Lead and Deputy Team Leader/Technical,መሪ እና ምክትል የቡድን መሪ / ቴክኒካል,p,,
Abroad Education consultant,የውጭ ትምህርት አማካሪ,p,,
Abroad study Admission Processing,የውጭ አገር ጥናት የመግቢያ ሂደት,p,,
Artificial Insemination Service Delivery (AISD) Advisor,ሰው ሰራሽ የማዳቀል አገልግሎት አቅርቦት (AISD) አማካሪ,p,,
Acadamic Dean,አካዳሚክ ዲን,p,,
Academic Department Heads for Business Management,የአካዳሚክ ዲፓርትመንት ኃላፊዎች ለንግድ ሥራ አመራር,p,,
Academic Department Heads for Computer Science,የኮምፒውተር ሳይንስ አካዳሚክ ዲፓርትመንት ኃላፊዎች,p,,
Academic & Research Vise Dean,አካዳሚክ እና ምርምር ቪሴ ዲን,p,,
Academic Supervisors,የአካዳሚክ ተቆጣጣሪዎች,p,,
Academic Tutor,የአካዳሚክ አስተማሪ,p,,
Academic Vice President,የአካዳሚክ ምክትል ፕሬዝዳንት,p,,
AC (Air Conditioning) Technician,ኤሲ (አየር ማቀዝቀዣ) ቴክኒሻን,p,,
Access and Safety Officer,የመዳረሻ እና ደህንነት ኦፊሰር,p,,
Accessibility Modification Construction Works,የተደራሽነት ማሻሻያ የግንባታ ስራዎች,p,,
Access Manager,የመዳረሻ አስተዳዳሪ,p,,
Access to Finance and Private Sector Engagement Specialist for ELSIPB Project,ለኤልሲፒቢ ፕሮጀክት የፋይናንስ እና የግል ዘርፍ ተሳትፎ ስፔሻሊስት መዳረሻ,p,,
"Accountability, Complaint and Feedback officer",ተጠያቂነት፣ ቅሬታ እና ግብረ መልስ ኦፊሰር,p,,
Accountability (M & E officer),ተጠያቂነት (ኤም እና ኢ መኮንን),p,,
Accountability & Safeguarding Advisor - Highland Resilience Activity,ተጠያቂነት እና ጥበቃ አማካሪ - የሃይላንድ የመቋቋም እንቅስቃሴ,p,,
Accountability to the Affected People (AAP) Specialist,ተጠያቂነት ለተጎዱ ሰዎች (ኤኤፒ) ስፔሻሊስት,p,,
Account Analyst,የሂሳብ ተንታኝ,p,,
Account and Marketing sales Department,መለያ እና ግብይት ሽያጭ ክፍል,p,,
Account and Project Manager For a Media and Advertising Agency,ለመገናኛ ብዙሃን እና ማስታወቂያ ኤጀንሲ የሂሳብ እና የፕሮጀክት ስራ አስኪያጅ,p,,
Assistance Farm Manager,የእርዳታ እርሻ ሥራ አስኪያጅ,p,,
accountant and communication officer,የሂሳብ ባለሙያ እና የግንኙነት ኦፊሰር,p,,
Accountant and finance manager,የሂሳብ ባለሙያ እና የፋይናንስ አስተዳዳሪ,p,,
