informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Junior utility Mechanic,የጁኒየር መገልገያ መካኒክ,P,Service,General maintenance
Junior VFX Compositor,ጁኒየር ቪኤፍኤክስ አቀናባሪ,P,Tourism and art,Motion Picture Works
Junior video editor intern,ጁኒየር ቪዲዮ አርታዒ ተለማማጅ,P,Tourism and art,Motion Picture Works
Junior Videographer,ጁኒየር ቪዲዮ አንሺ,P,Tourism and art,Motion Picture Works
Junior Warehouse Officer,ጁኒየር መጋዘን ኦፊሰር,P,"Logistics, transportation and communication",Stroage and warehousing service
Junior Wash Officer,ጁኒየር ማጠቢያ መኮንን,P,Service,Sewage and waste disposal; Health care and similar jobs
Junior Water Supply/ Sanitary Engineer I,ጁኒየር የውሃ አቅርቦት/ የንፅህና መሐንዲስ I,P,Economic Infrastructure,Water construction
Junior Welder,ጁኒየር ብየዳ,U,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Junor Carpentry,ጁንየር አናጢነት,U,Construction,"Carpenter, builder, and other similar construction works"
Kefeta Project Disability Mainstreaming Officer - KpDMO,የቀፈታ ፕሮጀክት አካል ጉዳተኝነት ዋና ዳይሬክተር,P,Service,Social work services
Kembategna and Sidamenga Translators,የከምባቴኛ እና የሲዳሜንጋ ተርጓሚዎች,I,Service,Other services
Keyboard and guitar trainer,የቁልፍ ሰሌዳ እና ጊታር አሰልጣኝ,U,Tourism and art,Culture and Arts Education
Keyboardist,የቁልፍ ሰሌዳ ባለሙያ,U,Tourism and art,Music Band
keyboardist and bassist,ኪቦርድ ባለሙያ እና ባሲስት,U,Tourism and art,Music Band
Keyshot animator,የቁልፍ ሾት እነማ,P,Tourism and art,Motion Picture Works
Kg – Assistant,ኪ.ግ - ረዳት,P,Service,Pre-primary education and after-school services
Kg Director,ኪ.ግ ዳይሬክተር,P,Service,Pre-primary education and after-school services
KG Students Nanny,KG ተማሪዎች ሞግዚት,U,Service,Pre-primary education and after-school services
Kid models,የልጆች ሞዴሎች,U,Tourism and art,Fashion and beauty pageants
Kids actors,የልጆች ተዋናዮች,U,Tourism and art,Motion Picture Works
Kids story writer,የልጆች ታሪክ ጸሐፊ,U,Tourism and art,"Mobile, Theater and; Video film production and distribution"
Kids Transportation Assistance,የልጆች መጓጓዣ እርዳታ,U,"Logistics, transportation and communication",Other supportive transportation services
Kitchen & CDP,ወጥ ቤት እና ሲዲፒ,U,Tourism and art,"Resturant,Coffee shop"
Kitchen & Laundry Technician (Electrical),ወጥ ቤት እና የልብስ ማጠቢያ ቴክኒሻን (ኤሌክትሪክ),P,Service,General maintenance
Kitchen & Laundry Technician (Mechanical),ወጥ ቤት እና የልብስ ማጠቢያ ቴክኒሻን (ሜካኒካል),P,Service,General maintenance
Kitchen assistant,የወጥ ቤት ረዳት,U,Tourism and art,"Resturant,Coffee shop"
kitchen back and cleaner,ወጥ ቤት ጀርባ እና ማጽጃ,P,Tourism and art,"Resturant,Coffee shop"
Kitchen Manager,የወጥ ቤት አስተዳዳሪ,P,Tourism and art,"Resturant,Coffee shop"
Kitchen Steward,የወጥ ቤት መጋቢ,P,Tourism and art,"Resturant,Coffee shop"
Kitchen Supervisor,የወጥ ቤት ተቆጣጣሪ,P,Tourism and art,"Resturant,Coffee shop"
Knowledge and Data Management Specialist,የእውቀት እና የውሂብ አስተዳደር ስፔሻሊስት,P,ICT and digital work,Database organization and data processing
Knowledge Sharing Platform (KSP)Assistant,የእውቀት መጋሪያ መድረክ ረዳት,U,ICT and digital work,Software Design Development and Implementation Works
Konso Language Translator,ኮንሶ ቋንቋ ተርጓሚ,U,Service,Other services
Korean language teacher,የኮሪያ ቋንቋ መምህር,U,Service,Short-term language training and education
Kunama Speaker/Translator,የኩናማ ተናጋሪ/ተርጓሚ,U,Service,Other services
L & D Specialist,L & D ስፔሻሊስት,P,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Lab Analyst,የላብራቶሪ ተንታኝ,P,Service,Laboratory test
Label and sticker designer,መለያ እና ተለጣፊ ንድፍ አውጪ,P,Manufacturing,Manufacture of paper and paper products
Labour economics expert,የሰራተኛ ኢኮኖሚክስ ባለሙያ,P,Service,Consulting service around social science
Laison Officer,የግንኙነት መኮንን,P,Service,Business Promotion Service
Land Acquisition and Construction Project Assistant,የመሬት ማግኛ እና የግንባታ ፕሮጀክት ረዳት,P,Construction,Construction land preparation
Land Administration and GIS Advisor,የመሬት አስተዳደር እና የጂአይኤስ አማካሪ,P,Economic Infrastructure,Land Administration & Management
Language and Sign Language translator,ቋንቋ እና የምልክት ቋንቋ ተርጓሚ,P,Service,Other services
Lathe and Melling Machinist,ላቲ እና ሜሊንግ ማሽነሪ,P,Manufacturing,Cutters and non-electric tools and accessories Production
Layout design,የአቀማመጥ ንድፍ,P,Manufacturing,Manufacture of home and office furniture
Lazer cutter ( plexi glass),ላዘር መቁረጫ,P,Manufacturing,Cutters and non-electric tools and accessories Production
Lead Coder,መሪ ኮደር,P,ICT and digital work,Software Design Development and Implementation Works
Lead Compliance Management,የእርሳስ ተገዢነት አስተዳደር,P,Service,Quality Management Consulting Service
Lead Construction Project Manager,መሪ የግንባታ ፕሮጀክት ሥራ አስኪያጅ,P,Construction,General Contractor (Except for the from Water works contractor
Lead Data Scientist,መሪ የውሂብ ሳይንቲስት,P,ICT and digital work,Database organization and data processing
Lead Electrical Engineer,መሪ የኤሌክትሪክ መሐንዲስ,P,Economic Infrastructure,Electro technology
Lead Generation specialist,መሪ ትውልድ ስፔሻሊስት,P,Service,Business Promotion Service
Lead Generator,መሪ ጀነሬተር,P,Service,Business Promotion Service
Lead Maintenance Inspector,የእርሳስ ጥገና መርማሪ,P,Service,General maintenance
Lead of Advocacy,የጥብቅና አመራር,P,Service,Social work services
Lead Operations Manager,መሪ ኦፕሬሽን ሥራ አስኪያጅ,P,Service,Business Promotion Service
Lead Project Coordinator,መሪ ፕሮጀክት አስተባባሪ,P,Service,Business Promotion Service
Lead Researcher on Botanical Sciences,የእጽዋት ሳይንስ መሪ ተመራማሪ,P,Service,Research and experimental development work in biology and chemistry
Lead Substation Engineer,መሪ ማከፋፈያ መሐንዲስ,P,Economic Infrastructure,Energy
Lead Water Supply & Sanitary Systems Design Engineer,የእርሳስ ውሃ አቅርቦት እና የንፅህና አጠባበቅ ስርዓቶች ንድፍ መሐንዲስ,P,Economic Infrastructure,Water construction
Lead Workshop CUM Mechanical Technician,መሪ ወርክሾፕ መካኒካል ቴክኒሽያን,P,Service,General maintenance
"Lead, CASCADE",መሪ,P,Service,Business Promotion Service
"Lead, Relationship Manager","መሪ, ግንኙነት አስተዳዳሪ",P,Service,Business Promotion Service
Leadership consultant,የአመራር አማካሪ,P,Service,Consulting service around social science
Learning & Development Division Manager,የመማር እና ልማት ክፍል አስተዳዳሪ,P,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Learning Management Solution Development,የመማር አስተዳደር መፍትሔ ልማት,P,ICT and digital work,Software Design Development and Implementation Works
Learning Management System (LMS) Specialist,የመማሪያ አስተዳደር ስርዓት ስፔሻሊስት,P,ICT and digital work,Software Design Development and Implementation Works
Learning managment system Administrator and Help Desk Assistant,የመማሪያ አስተዳደር ስርዓት አስተዳዳሪ እና የእገዛ ዴስክ ረዳት,P,ICT and digital work,Software Design Development and Implementation Works
"LEARNING, DESIGN AND MEASURMENT (LDM) MANAGER",የመማር፣ የንድፍ እና የመለኪያ አስተዳዳሪ,P,Service,"Other not-mentioned educational services (private tutoring, etc.)"
"Learning, Monitoring and Evaluation (LME) Advisor",የመማር፣ ክትትል እና ግምገማ አማካሪ,P,Service,Consulting service around social science
"Learning, Monitoring, and Evaluation Director",የትምህርት፣ ክትትል እና ግምገማ ዳይሬክተር,P,Service,Consulting service around social science
Lease Officer,የሊዝ ኦፊሰር,P,Service,Rent office equipment and supplies (including computer)
Leather bag and clothes designer,የቆዳ ቦርሳ እና ልብስ ዲዛይነር,P,Manufacturing,"Leather clothing, travel accessories, womens handbags, handbags"
Leather Jacket Worker,የቆዳ ጃኬት ሰራተኛ,P,Manufacturing,"Leather clothing, travel accessories, womens handbags, handbags"
leather Product Export manager,የቆዳ ምርት ኤክስፖርት አስተዳዳሪ,P,Business,"Wholesale textiles, textiles, clothing, shoes and leather products"
Leather Project Technical Coordinator,የቆዳ ፕሮጀክት ቴክኒካል አስተባባሪ,P,Industry Development,Leather
Leather tailor,የቆዳ ስፌት,U,Manufacturing,"Leather clothing, travel accessories, womens handbags, handbags"
Leather Technician,የቆዳ ቴክኒሻን,U,Industry Development,Leather
Leather-Craft trainer (Project Assistance),የቆዳ-ዕደ-ጥበብ አሰልጣኝ (የፕሮጀክት እርዳታ),P,Industry Development,Leather
Lecturer,መምህር,P,Service,Primary and secondary education
Lecturer in Accounting and Finance,በሂሳብ አያያዝ እና ፋይናንስ ውስጥ መምህር,P,Service,Primary and secondary education
Lecturer in Computer Programming,በኮምፒውተር ፕሮግራሚንግ ውስጥ መምህር,P,Service,Primary and secondary education
Lecturer in Computer Science,የኮምፒውተር ሳይንስ መምህር,P,Service,Primary and secondary education
Lecturer in Marketing and Management,በማርኬቲንግ እና አስተዳደር ውስጥ መምህር,P,Service,Primary and secondary education
"Lecturer, Accounting",መምህር ፣ የሂሳብ አያያዝ,P,Service,Primary and secondary education
"Lecturer, Nursing",መምህር ፣ ነርሲንግ,P,Service,Primary and secondary education
"Lecturer, Pharmacy",መምህር ፣ ፋርማሲ,P,Service,Primary and secondary education
"Lecturer, Public Health","መምህር, የህዝብ ጤና",P,Service,Primary and secondary education
LED Display advert Writer,ማሳያ ማስታወቂያ ጸሐፊ,P,Service,Advertising
Led light installer,የ LED መብራት ጫኝ,P,Construction,Electrical Works Contractor
Legal & Regulatory Affairs Manager,የሕግ እና የቁጥጥር ጉዳዮች ሥራ አስኪያጅ,P,Service,Consulting service around social science
Legal Advisor for Food Policy,የምግብ ፖሊሲ ​​የህግ አማካሪ,P,Service,Consulting service around social science
Legal Director and Corporate Communications,የህግ ዳይሬክተር እና የኮርፖሬት ኮሙኒኬሽን,P,Service,Consulting service around social science
Letter Header Design,የደብዳቤ ራስጌ ንድፍ,P,Manufacturing,Manufacture of paper and paper products
Letter of Credit Specialist,የብድር ባለሙያ ደብዳቤ,P,Service,Finance and Administration Services
Licensed Transitor,ፈቃድ ያለው ትራንዚተር,P,Service,Other services
Life Assurance Officer III,የሕይወት ዋስትና መኮንን III,P,Service,Other services
Life coach/ manager,የሕይወት አሰልጣኝ / ሥራ አስኪያጅ,U,Service,Other services
Lifeguard,የነፍስ አድን,P,Service,Sports Services
Lift attendant,የሊፍት ሰራተኛ,P,Service,Other services
Light and curtain sales,የብርሃን እና መጋረጃ ሽያጭ,I,Business,Home and Office Furniture Decorations & Utilities Retail
Line leader,የመስመር መሪ,U,Manufacturing,Another unmentioned factory works
Line Process Engineer,የመስመር ሂደት መሐንዲስ,P,Manufacturing,Another unmentioned factory works
Linear Algebra Tutor,የመስመር አልጀብራ አስጠኚ,I,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Linen Room Attendant and Seamstress,የበፍታ ክፍል አስተናጋጅ እና የባህር ሴት,U,Service,"Textile, Laundry clothes and laundry services"
Lingerie designers or lingerie retailers (boutique),የውስጥ ልብስ ዲዛይነሮች ወይም የውስጥ ሱሪዎች ቸርቻሪዎች (ቡቲክ),U,Business,Textile Clothing Shoes & Leather Products Retail
Linguist,የቋንቋ ሊቅ,P,Service,Other services
Linkage and Retention Assistant,ትስስር እና ማቆየት ረዳት,P,Service,Social work services
LinkedIn Account Manager and Storyteller,የLinkedIn መለያ አስተዳዳሪ እና ታሪክ ጸሐፊ,I,Service,Advertising
